#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
44022 2012 02 24 15 45  MM  7.0  9.0    MM    MM    MM  MM 1004.0   3.6    MM   2.2   MM   MM    MM
44022 2012 02 24 15 30  MM  6.0  8.0    MM    MM    MM  MM 1004.5   3.5    MM   2.1   MM   MM    MM
44022 2012 02 24 15 15  MM  6.0  8.0    MM    MM    MM  MM 1004.7   3.4    MM   1.9   MM   MM    MM
44022 2012 02 24 15 00  MM  7.0  8.0    MM    MM    MM  MM 1004.7   3.4    MM   1.9   MM -1.5    MM
44024 2012 02 24 15 04 160  2.0  3.0   3.1    11    MM  MM 1010.1   4.5   4.6    MM  1.6 +1.3    MM
44025 2012 02 24 15 50  80 12.0 15.0   2.9     7   5.9  97 1002.2   6.1   7.2   3.6   MM -1.8    MM
44027 2012 02 24 15 50 330  2.0  3.0   1.4     9   6.5  MM 1008.5   2.8   5.4    MM   MM +0.0    MM
44029 2012 02 24 15 04 180  5.0  5.0   0.7    11    MM  MM 1006.3   3.6   5.5    MM  1.6 +0.0    MM
44030 2012 02 24 15 04 110  4.0  5.0   1.0     8    MM  MM 1008.1    MM   5.5    MM   MM +0.9    MM
44033 2012 02 24 15 04  MM  0.0  1.0   0.6     8    MM  MM 1008.7   2.7   3.1    MM  1.6 +0.0    MM
44034 2012 02 24 15 04 360  1.0  2.0   1.1     8    MM  MM 1008.7   2.8   5.0    MM  1.6 -0.0    MM
44037 2012 02 24 15 04  70  1.0  2.0   1.7    11    MM  MM 1008.8   4.1   5.8    MM  1.6 -0.4    MM
44039 2012 02 24 15 30  80  9.0 11.0   0.9     4    MM  MM     MM   3.5   4.8   3.5   MM   MM    MM
44039 2012 02 24 15 00  90 10.0 13.0   0.9     4    MM  MM 1006.0   4.1   4.8   4.1   MM -1.3    MM
44041 2012 02 24 15 50 250  8.0 13.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44041 2012 02 24 15 40 260  8.0 12.0    MM    MM    MM  MM 1002.3    MM    MM    MM   MM   MM    MM
44041 2012 02 24 15 30 250  9.0 12.0    MM    MM    MM  MM 1002.3    MM    MM    MM   MM   MM    MM
44041 2012 02 24 15 20 250 10.0 14.0    MM    MM    MM  MM 1002.3    MM    MM    MM   MM   MM    MM
44041 2012 02 24 15 10 250  9.0 13.0    MM    MM    MM  MM 1002.2    MM    MM    MM   MM   MM    MM
44041 2012 02 24 15 00 250  9.0 14.0   0.3     2    MM  MM 1002.4  20.0   9.6    MM   MM   MM    MM
44042 2012 02 24 15 50  50  2.0  3.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44042 2012 02 24 15 40  30  2.0  3.0    MM    MM    MM  MM 1000.1    MM    MM    MM   MM   MM    MM
44042 2012 02 24 15 30  20  3.0  3.0    MM    MM    MM  MM 1000.4    MM    MM    MM   MM   MM    MM
44042 2012 02 24 15 20  20  3.0  4.0    MM    MM    MM  MM 1000.6    MM    MM    MM   MM   MM    MM
44042 2012 02 24 15 10  30  4.0  5.0    MM    MM    MM  MM 1000.6    MM    MM    MM   MM   MM    MM
44042 2012 02 24 15 00  30  5.0  5.0   0.2    MM    MM  MM 1000.7   9.4   7.2    MM   MM   MM    MM
44043 2012 02 24 15 50  10  2.0  2.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44043 2012 02 24 15 40  30  2.0  2.0    MM    MM    MM  MM  999.7    MM    MM    MM   MM   MM    MM
44043 2012 02 24 15 30  30  2.0  2.0    MM    MM    MM  MM  999.8    MM    MM    MM   MM   MM    MM
44043 2012 02 24 15 20  70  2.0  3.0    MM    MM    MM  MM  999.9    MM    MM    MM   MM   MM    MM
44043 2012 02 24 15 10 120  3.0  3.0    MM    MM    MM  MM  999.9    MM    MM    MM   MM   MM    MM
44043 2012 02 24 15 00  70  2.0  3.0   0.3     2    MM  MM 1000.0   7.0   6.4    MM   MM   MM    MM
44058 2012 02 24 15 50 250  7.0  9.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44058 2012 02 24 15 40 250  8.0 10.0    MM    MM    MM  MM  999.7    MM    MM    MM   MM   MM    MM
44058 2012 02 24 15 30 250  7.0 10.0    MM    MM    MM  MM  999.9    MM    MM    MM   MM   MM    MM
44058 2012 02 24 15 10 240  6.0  7.0    MM    MM    MM  MM 1000.0    MM    MM    MM   MM   MM    MM
44058 2012 02 24 15 00 240  6.0  7.0   0.4     2    MM  MM  999.9  15.7   8.0    MM   MM   MM    MM
44059 2012 02 24 15 50 240  7.0 11.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44059 2012 02 24 15 40 250  7.0 13.0    MM    MM    MM  MM  999.9    MM    MM    MM   MM   MM    MM
44059 2012 02 24 15 30 250  7.0 11.0    MM    MM    MM  MM 1000.0    MM    MM    MM   MM   MM    MM
