#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
BZBM3 2012 02 24 15 18  MM   MM   MM    MM    MM    MM  MM 1007.0   2.2   4.7    MM   MM   MM    MM
BZBM3 2012 02 24 15 12  MM   MM   MM    MM    MM    MM  MM 1007.1   2.1   4.7    MM   MM   MM    MM
BZBM3 2012 02 24 15 06  MM   MM   MM    MM    MM    MM  MM 1007.3   2.0   4.8    MM   MM   MM    MM
BZBM3 2012 02 24 15 00  MM   MM   MM    MM    MM    MM  MM 1007.2   1.9   4.7    MM   MM -1.2    MM
CAMM2 2012 02 24 15 36  90  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CAMM2 2012 02 24 15 30  80  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CAMM2 2012 02 24 15 24  80  3.6  4.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CAMM2 2012 02 24 15 18  80  3.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CAMM2 2012 02 24 15 12  80  3.1  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CAMM2 2012 02 24 15 06  80  3.1  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CAMM2 2012 02 24 15 00  90  4.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CAPL1 2012 02 24 15 42  20 11.8 14.9    MM    MM    MM  MM 1016.4  16.1  15.9    MM   MM   MM    MM
CAPL1 2012 02 24 15 36  30 12.4 14.4    MM    MM    MM  MM 1016.2  16.2  15.9    MM   MM   MM    MM
CAPL1 2012 02 24 15 30  30 12.4 14.4    MM    MM    MM  MM 1016.8  16.2  16.0    MM   MM   MM    MM
CAPL1 2012 02 24 15 24  30 10.8 17.5    MM    MM    MM  MM 1016.6  16.3  16.2    MM   MM   MM    MM
CAPL1 2012 02 24 15 18  30 13.4 16.5    MM    MM    MM  MM 1015.8  16.3  16.3    MM   MM   MM    MM
CAPL1 2012 02 24 15 12  30 12.4 16.5    MM    MM    MM  MM 1015.9  16.3  16.2    MM   MM   MM    MM
CAPL1 2012 02 24 15 06  20 11.8 13.9    MM    MM    MM  MM 1015.8  16.2  16.3    MM   MM   MM    MM
CAPL1 2012 02 24 15 00  20 13.4 16.5    MM    MM    MM  MM 1016.0  16.2  16.4    MM   MM +5.3    MM
CARO3 2012 02 24 15 00  90  1.0  1.5    MM    MM    MM  MM 1021.4   3.9    MM   2.3   MM -2.3    MM
CASM1 2012 02 24 15 36  MM   MM   MM    MM    MM    MM  MM 1008.2   2.6   5.3    MM   MM   MM    MM
CASM1 2012 02 24 15 30  MM   MM   MM    MM    MM    MM  MM 1008.2   2.6   5.3    MM   MM   MM    MM
CASM1 2012 02 24 15 24  MM   MM   MM    MM    MM    MM  MM 1008.2   2.4   5.3    MM   MM   MM    MM
CASM1 2012 02 24 15 18  MM   MM   MM    MM    MM    MM  MM 1008.2   2.4   5.3    MM   MM   MM    MM
CASM1 2012 02 24 15 12  MM   MM   MM    MM    MM    MM  MM 1008.3   2.4   5.4    MM   MM   MM    MM
CASM1 2012 02 24 15 06  MM   MM   MM    MM    MM    MM  MM 1008.2   2.3   5.4    MM   MM   MM    MM
CASM1 2012 02 24 15 00  MM   MM   MM    MM    MM    MM  MM 1008.2   2.4   5.4    MM   MM +0.3    MM
CBBV2 2012 02 24 15 36 220 12.9 13.4    MM    MM    MM  MM 1000.0  19.0   7.4    MM   MM   MM    MM
CBBV2 2012 02 24 15 30 220 10.3 13.4    MM    MM    MM  MM 1000.2  18.3   7.4    MM   MM   MM    MM
CBBV2 2012 02 24 15 24 220 11.3 12.9    MM    MM    MM  MM 1000.1  18.8   7.4    MM   MM   MM    MM
CBBV2 2012 02 24 15 18 210 11.8 14.4    MM    MM    MM  MM 1000.2  18.9   7.4    MM   MM   MM    MM
CBBV2 2012 02 24 15 12 220 11.8 13.4    MM    MM    MM  MM 1000.3  18.7   7.5    MM   MM   MM    MM
CBBV2 2012 02 24 15 06 210 12.9 15.4    MM    MM    MM  MM 1000.3  18.7   7.5    MM   MM   MM    MM
CBBV2 2012 02 24 15 00 210 11.3 11.8    MM    MM    MM  MM 1000.6  18.1   7.4    MM   MM +0.6    MM
CBLO1 2012 02 24 15 20 120  2.1  3.6    MM    MM    MM  MM  992.2   3.1    MM    MM   MM   MM    MM
CBLO1 2012 02 24 15 00 120  2.1  2.6    MM    MM    MM  MM  992.6   2.2    MM    MM   MM -2.0    MM
CBRW3 2012 02 24 15 40 330  6.2  8.2    MM    MM    MM  MM 1002.7  -1.1    MM    MM   MM   MM    MM
CBRW3 2012 02 24 15 30 330  5.1  6.7    MM    MM    MM  MM 1002.7  -1.3    MM    MM   MM   MM    MM
CBRW3 2012 02 24 15 20 330  5.1  6.2    MM    MM    MM  MM 1002.7  -1.5    MM    MM   MM   MM    MM
CBRW3 2012 02 24 15 10 330  4.6  5.7    MM    MM    MM  MM 1002.7  -1.5    MM    MM   MM   MM    MM
CBRW3 2012 02 24 15 00 340  5.7  6.7    MM    MM    MM  MM 1002.7  -1.6    MM    MM   MM +0.3    MM
CDEA2 2012 02 24 15 00  80  2.1   MM    MM    MM    MM  MM 1009.1   0.6    MM  -3.3   MM   MM    MM
CDRF1 2012 02 24 15 00 200  6.7  8.2    MM    MM    MM  MM 1015.6  19.1    MM  19.1   MM +1.8    MM
CECC1 2012 02 24 15 36  70  1.5  2.1    MM    MM    MM  MM 1020.9   7.3   9.7    MM   MM   MM    MM
CECC1 2012 02 24 15 30  80  1.5  2.1    MM    MM    MM  MM 1021.0   7.4   9.7    MM   MM   MM    MM
CECC1 2012 02 24 15 24  70  1.5  2.1    MM    MM    MM  MM 1021.0   7.2   9.7    MM   MM   MM    MM
CECC1 2012 02 24 15 18  60  1.5  2.1    MM    MM    MM  MM 1021.0   7.0   9.7    MM   MM   MM    MM
CECC1 2012 02 24 15 12  50  1.5  2.1    MM    MM    MM  MM 1021.0   6.6   9.7    MM   MM   MM    MM
CECC1 2012 02 24 15 06  60  1.5  2.6    MM    MM    MM  MM 1021.0   6.7   9.7    MM   MM   MM    MM
CECC1 2012 02 24 15 00  50  2.1  2.6    MM    MM    MM  MM 1021.1   6.7   9.7    MM   MM -0.8    MM
CFWM1 2012 02 24 15 36 300  1.5  2.1    MM    MM    MM  MM 1008.6   3.2   4.7    MM   MM   MM    MM
CFWM1 2012 02 24 15 30 360  1.5  3.1    MM    MM    MM  MM 1008.6   3.2   4.7    MM   MM   MM    MM
CFWM1 2012 02 24 15 24  10  2.1  2.6    MM    MM    MM  MM 1008.6   3.2   4.8    MM   MM   MM    MM
CFWM1 2012 02 24 15 18 360  2.1  3.1    MM    MM    MM  MM 1008.6   3.0   4.8    MM   MM   MM    MM
CFWM1 2012 02 24 15 12  10  2.1  3.1    MM    MM    MM  MM 1008.6   3.1   4.8    MM   MM   MM    MM
CFWM1 2012 02 24 15 06 330  2.1  3.6    MM    MM    MM  MM 1008.8   2.7   4.8    MM   MM   MM    MM
CFWM1 2012 02 24 15 00 300  2.6  4.1    MM    MM    MM  MM 1008.9   2.5   4.8    MM   MM +1.1    MM
CHAO3 2012 02 24 15 36 140  2.6  4.1    MM    MM    MM  MM 1020.5   1.4   9.1    MM   MM   MM    MM
CHAO3 2012 02 24 15 30 150  2.6  5.1    MM    MM    MM  MM 1020.7   1.4   9.1    MM   MM   MM    MM
CHAO3 2012 02 24 15 24 140  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CHAO3 2012 02 24 15 18 150  2.1  4.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CHAO3 2012 02 24 15 12 150  2.1  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CHAO3 2012 02 24 15 06 150  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CHAO3 2012 02 24 15 00 150  2.1  3.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
CHAV3 2012 02 24 15 36 100  2.6  6.7    MM    MM    MM  MM 1018.8  28.1  27.1    MM   MM   MM    MM
CHAV3 2012 02 24 15 30 100  4.1  7.2    MM    MM    MM  MM 1018.9  28.0  27.1    MM   MM   MM    MM
CHAV3 2012 02 24 15 24  90  4.6  7.7    MM    MM    MM  MM 1018.9  27.9  27.1    MM   MM   MM    MM
CHAV3 2012 02 24 15 18 100  4.1  7.7    MM    MM    MM  MM 1018.9  27.7  27.1    MM   MM   MM    MM
CHAV3 2012 02 24 15 12 100  3.1  7.2    MM    MM    MM  MM 1019.1  27.6  27.2    MM   MM   MM    MM
CHAV3 2012 02 24 15 06 100  4.1  7.7    MM    MM    MM  MM 1019.1  27.5  27.2    MM   MM   MM    MM
CHAV3 2012 02 24 15 00  90  4.6  8.2    MM    MM    MM  MM 1019.1  27.7  27.2    MM   MM +1.0    MM
CHCM2 2012 02 24 15 36  90  4.1  5.7    MM    MM    MM  MM 1000.6   6.7   6.1    MM   MM   MM    MM
CHCM2 2012 02 24 15 30  90  4.6  5.7    MM    MM    MM  MM 1000.8   6.7   6.1    MM   MM   MM    MM
CHCM2 2012 02 24 15 24 110  3.6  5.7    MM    MM    MM  MM 1000.7   6.7   6.1    MM   MM   MM    MM
CHCM2 2012 02 24 15 18  90  3.6  4.6    MM    MM    MM  MM 1000.9   6.7   6.1    MM   MM   MM    MM
CHCM2 2012 02 24 15 12 100  3.1  5.1    MM    MM    MM  MM 1000.9   6.7   6.1    MM   MM   MM    MM
CHCM2 2012 02 24 15 06 110  3.1  5.7    MM    MM    MM  MM 1000.9   6.8   6.1    MM   MM   MM    MM
CHCM2 2012 02 24 15 00 110  4.1  6.2    MM    MM    MM  MM 1000.9   6.7   6.1    MM   MM +0.0    MM
CHDS1 2012 02 24 15 40 190  2.1  5.7    MM    MM    MM  MM     MM  20.2    MM    MM   MM   MM    MM
CHDS1 2012 02 24 15 30 190  1.5  7.7    MM    MM    MM  MM     MM  20.2    MM    MM   MM   MM    MM
CHDS1 2012 02 24 15 20 200  2.6  6.7    MM    MM    MM  MM     MM  20.4    MM    MM   MM   MM    MM
CHDS1 2012 02 24 15 10 190  2.1  6.7    MM    MM    MM  MM     MM  20.9    MM    MM   MM   MM    MM
CHDS1 2012 02 24 15 00 170  1.5  6.2    MM    MM    MM  MM     MM  21.3    MM    MM   MM   MM    MM
CHII2 2012 02 24 15 30 310 10.3 12.4    MM    MM    MM  MM     MM  -0.2    MM    MM   MM   MM    MM
CHII2 2012 02 24 15 15 310 11.3 12.4    MM    MM    MM  MM     MM  -0.3    MM    MM   MM   MM    MM
CHII2 2012 02 24 15 00 310 11.3 13.9    MM    MM    MM  MM     MM  -0.5    MM    MM   MM   MM    MM
CHLV2 2012 02 24 15 00 220 13.9 14.4    MM    MM    MM  MM 1001.6  17.1    MM  15.8   MM +0.7    MM
CHNO3 2012 02 24 15 30 190  0.5   MM    MM    MM    MM  MM 1022.0   0.8    MM    MM   MM   MM    MM
CHNO3 2012 02 24 15 15  MM  0.0   MM    MM    MM    MM  MM 1022.0   0.9    MM    MM   MM   MM    MM
CHNO3 2012 02 24 15 00 190  1.0   MM    MM    MM    MM  MM 1022.0   1.0    MM    MM   MM -3.0    MM
CHSV3 2012 02 24 15 36  70  5.1  8.8    MM    MM    MM  MM 1018.0  27.2  26.1    MM   MM   MM    MM
CHSV3 2012 02 24 15 30  60  4.1  6.7    MM    MM    MM  MM 1018.0  27.1  26.1    MM   MM   MM    MM
CHSV3 2012 02 24 15 24  70  3.6  6.2    MM    MM    MM  MM 1018.1  27.1  26.1    MM   MM   MM    MM
CHSV3 2012 02 24 15 18  60  5.1  7.2    MM    MM    MM  MM 1018.2  26.9  26.1    MM   MM   MM    MM
CHSV3 2012 02 24 15 12  70  4.6  8.2    MM    MM    MM  MM 1018.2  26.7  26.1    MM   MM   MM    MM
CHSV3 2012 02 24 15 06  70  3.1  6.2    MM    MM    MM  MM 1018.3  26.8  26.1    MM   MM   MM    MM
CHSV3 2012 02 24 15 00  70  3.1  7.7    MM    MM    MM  MM 1018.4  26.8  26.1    MM   MM +1.0    MM
CHYV2 2012 02 24 15 36 230  5.7 11.3    MM    MM    MM  MM  999.6  23.3    MM    MM   MM   MM    MM
CHYV2 2012 02 24 15 30 240  5.7  9.3    MM    MM    MM  MM  999.5  23.1    MM    MM   MM   MM    MM
CHYV2 2012 02 24 15 24 220  4.6 10.3    MM    MM    MM  MM  999.7  22.9    MM    MM   MM   MM    MM
CHYV2 2012 02 24 15 18 240  7.7 12.9    MM    MM    MM  MM  999.9  22.7    MM    MM   MM   MM    MM
CHYV2 2012 02 24 15 12 220  4.6 11.3    MM    MM    MM  MM 1000.0  22.6    MM    MM   MM   MM    MM
CHYV2 2012 02 24 15 06 220  5.7 11.8    MM    MM    MM  MM 1000.1  22.4    MM    MM   MM   MM    MM
CHYV2 2012 02 24 15 00 240  7.7 12.4    MM    MM    MM  MM 1000.2  22.3    MM    MM   MM +0.8    MM
CHYW1 2012 02 24 15 42 150 10.8 13.9    MM    MM    MM  MM     MM   5.7    MM    MM   MM   MM    MM
CHYW1 2012 02 24 15 36 150 11.3 14.4    MM    MM    MM  MM 1015.7   5.7   7.6    MM   MM   MM    MM
CHYW1 2012 02 24 15 30 150 10.8 14.4    MM    MM    MM  MM     MM   5.7    MM    MM   MM   MM    MM
CHYW1 2012 02 24 15 24 150  7.7 12.9    MM    MM    MM  MM 1016.2   5.6   7.5    MM   MM   MM    MM
CHYW1 2012 02 24 15 18 140  7.2 10.3    MM    MM    MM  MM     MM   5.4    MM    MM   MM   MM    MM
CHYW1 2012 02 24 15 12 140  8.8 12.4    MM    MM    MM  MM     MM   5.3    MM    MM   MM   MM    MM
CHYW1 2012 02 24 15 06 140  7.2 11.3    MM    MM    MM  MM     MM   5.2    MM    MM   MM   MM    MM
CHYW1 2012 02 24 15 00 140  8.2 11.8    MM    MM    MM  MM     MM   5.0    MM    MM   MM   MM    MM
CLBP4 2012 02 24 15 36  90   MM   MM    MM    MM    MM  MM 1020.6  27.9  26.1    MM   MM   MM    MM
CLBP4 2012 02 24 15 30  70   MM   MM    MM    MM    MM  MM 1020.6  28.1  26.1    MM   MM   MM    MM
CLBP4 2012 02 24 15 24  MM   MM   MM    MM    MM    MM  MM 1020.7  27.9  26.0    MM   MM   MM    MM
CLBP4 2012 02 24 15 18  70   MM   MM    MM    MM    MM  MM 1020.7  28.1  26.0    MM   MM   MM    MM
CLBP4 2012 02 24 15 12  90   MM   MM    MM    MM    MM  MM 1020.8  28.3  26.0    MM   MM   MM    MM
CLBP4 2012 02 24 15 06  MM   MM   MM    MM    MM    MM  MM 1020.8  28.0  26.0    MM   MM   MM    MM
CLBP4 2012 02 24 15 00  90   MM   MM    MM    MM    MM  MM 1020.8  27.6  26.0    MM   MM +1.0    MM
CLKN7 2012 02 24 15 00 220  9.3 11.3    MM    MM    MM  MM 1007.7  19.1    MM  17.7   MM +0.5    MM
CLSM4 2012 02 24 15 00  90  2.6  3.6    MM    MM    MM  MM  991.5   0.8    MM    MM   MM -2.7    MM
CMAN4 2012 02 24 15 36  80  4.6  7.2    MM    MM    MM  MM 1000.7   8.6   9.4    MM   MM   MM    MM
CMAN4 2012 02 24 15 30  80  5.1  7.7    MM    MM    MM  MM 1000.8   8.6   9.4    MM   MM   MM    MM
CMAN4 2012 02 24 15 24  80  4.6  7.2    MM    MM    MM  MM 1001.0   8.7   9.4    MM   MM   MM    MM
CMAN4 2012 02 24 15 18  80  4.1  6.2    MM    MM    MM  MM 1000.8   8.7   9.4    MM   MM   MM    MM
CMAN4 2012 02 24 15 12  80  4.1  6.7    MM    MM    MM  MM 1000.9   8.8   9.4    MM   MM   MM    MM
CMAN4 2012 02 24 15 06  70  4.6  6.7    MM    MM    MM  MM 1001.0   8.6   9.4    MM   MM   MM    MM
CMAN4 2012 02 24 15 00  70  3.6  6.7    MM    MM    MM  MM 1001.0   8.6   9.4    MM   MM +1.0    MM
CMTI2 2012 02 24 15 36 290  5.7 10.3    MM    MM    MM  MM 1002.2   0.3    MM    MM   MM   MM    MM
CMTI2 2012 02 24 15 30 290  5.7  8.8    MM    MM    MM  MM 1002.0   0.2    MM    MM   MM   MM    MM
CMTI2 2012 02 24 15 24 290  5.1  9.3    MM    MM    MM  MM 1001.9   0.1    MM    MM   MM   MM    MM
CMTI2 2012 02 24 15 18 280  7.2  9.3    MM    MM    MM  MM 1001.8   0.0    MM    MM   MM   MM    MM
CMTI2 2012 02 24 15 12 290  6.7  9.3    MM    MM    MM  MM 1001.6  -0.1    MM    MM   MM   MM    MM
CMTI2 2012 02 24 15 06 290  5.1 10.8    MM    MM    MM  MM 1001.4  -0.1    MM    MM   MM   MM    MM
CMTI2 2012 02 24 15 00 300  6.7 10.8    MM    MM    MM  MM 1001.1  -0.2    MM    MM   MM +4.5    MM
CNDO1 2012 02 24 15 36 240 11.3 15.4    MM    MM    MM  MM  994.0   6.4    MM    MM   MM   MM    MM
CNDO1 2012 02 24 15 30 250 10.8 12.9    MM    MM    MM  MM  993.8   6.3    MM    MM   MM   MM    MM
CNDO1 2012 02 24 15 24 250 11.8 16.5    MM    MM    MM  MM  993.8   6.7    MM    MM   MM   MM    MM
CNDO1 2012 02 24 15 18 240  7.7 10.8    MM    MM    MM  MM  993.7   7.4    MM    MM   MM   MM    MM
CNDO1 2012 02 24 15 12 230  8.2 12.4    MM    MM    MM  MM  993.7   7.6    MM    MM   MM   MM    MM
CNDO1 2012 02 24 15 06 230  7.7 10.8    MM    MM    MM  MM  993.6   7.6    MM    MM   MM   MM    MM
CNDO1 2012 02 24 15 00 220  5.7  9.8    MM    MM    MM  MM  993.5   7.6    MM    MM   MM -0.0    MM
COVM2 2012 02 24 15 36 200  0.5  1.0    MM    MM    MM  MM  999.6   9.5    MM    MM   MM   MM    MM
COVM2 2012 02 24 15 30 280  0.5  1.0    MM    MM    MM  MM  999.6   9.1    MM    MM   MM   MM    MM
COVM2 2012 02 24 15 24 280  0.5  1.0    MM    MM    MM  MM  999.4   8.5    MM    MM   MM   MM    MM
COVM2 2012 02 24 15 18 310  0.5  1.0    MM    MM    MM  MM  999.9   8.5    MM    MM   MM   MM    MM
COVM2 2012 02 24 15 12 310  1.0  1.0    MM    MM    MM  MM 1000.1   8.1    MM    MM   MM   MM    MM
COVM2 2012 02 24 15 06 290  1.5  1.5    MM    MM    MM  MM 1000.1   7.9    MM    MM   MM   MM    MM
COVM2 2012 02 24 15 00 300  1.5  1.5    MM    MM    MM  MM 1000.3   7.7    MM    MM   MM +1.2    MM
CPTR1 2012 02 24 15 36  50  3.6  4.1    MM    MM    MM  MM 1005.7   1.6   8.8    MM   MM   MM    MM
CPTR1 2012 02 24 15 30  40  2.6  4.1    MM    MM    MM  MM 1005.8   1.5   8.8    MM   MM   MM    MM
CPTR1 2012 02 24 15 24  30  3.6  4.1    MM    MM    MM  MM 1006.0   1.4   8.8    MM   MM   MM    MM
CPTR1 2012 02 24 15 18  30  3.1  4.6    MM    MM    MM  MM 1006.1   1.5   8.8    MM   MM   MM    MM
CPTR1 2012 02 24 15 12  30  3.1  4.1    MM    MM    MM  MM 1006.3   1.4   8.8    MM   MM   MM    MM
CPTR1 2012 02 24 15 06  40  4.1  5.1    MM    MM    MM  MM 1006.1   1.4   8.8    MM   MM   MM    MM
CPTR1 2012 02 24 15 00  40  3.1  5.7    MM    MM    MM  MM 1006.3   1.4   8.8    MM   MM -0.8    MM
CPXC1 2012 02 24 15 52  20  2.6  2.6    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 48  20  2.6  2.6    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 46  20  2.6  2.6    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 42  20  2.6  3.1    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 40  20  2.6  3.1    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 36  20  2.1  2.6    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 34  20  2.1  2.1    MM    MM    MM  MM     MM  10.9    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 30  10  2.6  3.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 26  20  2.6  3.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 24  20  2.6  3.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 20  20  2.1  2.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 18  20  1.0  2.1    MM    MM    MM  MM     MM  10.7    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 14 320  0.5  1.0    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 12 300  1.0  1.0    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 08 310  0.5  1.0    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 06 310  0.5  1.0    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 02 310  1.0  1.5    MM    MM    MM  MM     MM  10.9    MM    MM   MM   MM    MM
CPXC1 2012 02 24 15 00 310  1.5  2.1    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
CRTA1 2012 02 24 15 00 230  8.8   MM    MM    MM    MM  MM 1011.5  19.5    MM    MM   MM +1.4    MM
CRVA2 2012 02 24 15 36  MM  0.0  0.5    MM    MM    MM  MM 1019.0  -2.0   3.7    MM   MM   MM    MM
CRVA2 2012 02 24 15 30  MM  0.0  0.5    MM    MM    MM  MM 1019.0  -2.1   3.7    MM   MM   MM    MM
CRVA2 2012 02 24 15 24  MM   MM   MM    MM    MM    MM  MM 1019.0  -2.2   3.7    MM   MM   MM    MM
CRVA2 2012 02 24 15 18  70   MM   MM    MM    MM    MM  MM 1019.1  -2.2   3.8    MM   MM   MM    MM
CRVA2 2012 02 24 15 12  MM  0.0  0.5    MM    MM    MM  MM 1019.1  -1.9   3.9    MM   MM   MM    MM
CRVA2 2012 02 24 15 06  MM  0.0  0.5    MM    MM    MM  MM 1019.1  -2.0   3.9    MM   MM   MM    MM
CRVA2 2012 02 24 15 00  MM  0.0  0.5    MM    MM    MM  MM 1019.1  -1.9   3.9    MM   MM +0.0    MM
CRYV2 2012 02 24 15 36 240  7.7 11.3    MM    MM    MM  MM 1000.8    MM    MM    MM   MM   MM    MM
CRYV2 2012 02 24 15 30 230  7.2 12.9    MM    MM    MM  MM 1000.8    MM    MM    MM   MM   MM    MM
CRYV2 2012 02 24 15 24 220  8.2 14.4    MM    MM    MM  MM 1000.8    MM    MM    MM   MM   MM    MM
CRYV2 2012 02 24 15 18 220  6.7 10.3    MM    MM    MM  MM 1000.9    MM    MM    MM   MM   MM    MM
CRYV2 2012 02 24 15 12 210  7.7 13.9    MM    MM    MM  MM 1001.0    MM    MM    MM   MM   MM    MM
CRYV2 2012 02 24 15 06 210  6.7 10.3    MM    MM    MM  MM 1001.1    MM    MM    MM   MM   MM    MM
CRYV2 2012 02 24 15 00 220  6.7 10.3    MM    MM    MM  MM 1001.2    MM    MM    MM   MM +0.5    MM
CWBF1 2012 02 24 15 36 210  9.3 10.3    MM    MM    MM  MM 1015.4  21.5  20.2    MM   MM   MM    MM
CWBF1 2012 02 24 15 30 200  8.8  9.8    MM    MM    MM  MM 1015.5  21.2  20.2    MM   MM   MM    MM
CWBF1 2012 02 24 15 24 210  8.2  9.3    MM    MM    MM  MM 1015.4  20.8  20.2    MM   MM   MM    MM
CWBF1 2012 02 24 15 18 210  8.2  9.3    MM    MM    MM  MM 1015.5  20.7  20.3    MM   MM   MM    MM
CWBF1 2012 02 24 15 12 210  8.2  8.8    MM    MM    MM  MM 1015.5  20.6  20.3    MM   MM   MM    MM
CWBF1 2012 02 24 15 06 210  7.7  8.2    MM    MM    MM  MM 1015.5  20.4  20.4    MM   MM   MM    MM
CWBF1 2012 02 24 15 00 210  7.7  8.2    MM    MM    MM  MM 1015.4  20.3  20.4    MM   MM +2.0    MM
DBLN6 2012 02 24 15 00 180  2.6  4.1    MM    MM    MM  MM  993.7   5.6    MM    MM   MM -1.2    MM
DELD1 2012 02 24 15 42  70  4.1  5.1    MM    MM    MM  MM 1000.6   6.6   6.1    MM   MM   MM    MM
DELD1 2012 02 24 15 36  70  4.6  5.1    MM    MM    MM  MM 1000.6   6.5   6.0    MM   MM   MM    MM
DELD1 2012 02 24 15 30  80  3.6  4.1    MM    MM    MM  MM 1000.8   6.5   6.0    MM   MM   MM    MM
DELD1 2012 02 24 15 24  90  4.1  5.1    MM    MM    MM  MM 1001.1   6.5   6.0    MM   MM   MM    MM
DELD1 2012 02 24 15 18  90  4.1  5.1    MM    MM    MM  MM 1000.8   6.4   6.0    MM   MM   MM    MM
DELD1 2012 02 24 15 12 100  4.1  5.7    MM    MM    MM  MM 1001.0   6.4   6.0    MM   MM   MM    MM
DELD1 2012 02 24 15 06  90  4.6  5.7    MM    MM    MM  MM 1000.9   6.4   6.0    MM   MM   MM    MM
DELD1 2012 02 24 15 00  90  4.1  6.2    MM    MM    MM  MM 1001.3   6.4   6.0    MM   MM +0.8    MM
DESW1 2012 02 24 15 00 140 16.0 18.5    MM    MM    MM  MM 1015.7   5.1    MM    MM   MM -4.2    MM
DISW3 2012 02 24 15 00 320  6.7  7.2    MM    MM    MM  MM 1006.9  -1.5    MM  -6.2   MM +1.0    MM
DKCM6 2012 02 24 15 36 220  7.7 10.3    MM    MM    MM  MM 1011.3  21.6    MM    MM   MM   MM    MM
DKCM6 2012 02 24 15 30 210  5.7  8.8    MM    MM    MM  MM 1011.3  21.3    MM    MM   MM   MM    MM
DKCM6 2012 02 24 15 18 210  7.2 10.3    MM    MM    MM  MM 1011.2  21.1    MM    MM   MM   MM    MM
DKCM6 2012 02 24 15 12 210  6.7  9.8    MM    MM    MM  MM 1011.0  21.2    MM    MM   MM   MM    MM
DKCM6 2012 02 24 15 06 210  5.1  8.8    MM    MM    MM  MM 1010.8  21.1    MM    MM   MM   MM    MM
DKCM6 2012 02 24 15 00 210  6.2  9.8    MM    MM    MM  MM 1010.8  21.1    MM    MM   MM   MM    MM
DOMV2 2012 02 24 15 42 240  7.7  8.8    MM    MM    MM  MM 1000.7  18.0    MM    MM   MM   MM    MM
DOMV2 2012 02 24 15 36 240  7.2  8.8    MM    MM    MM  MM 1000.7  17.7    MM    MM   MM   MM    MM
DOMV2 2012 02 24 15 30 240  7.7 12.9    MM    MM    MM  MM 1000.7  17.8    MM    MM   MM   MM    MM
DOMV2 2012 02 24 15 24 230  6.7  9.3    MM    MM    MM  MM 1000.7  17.8    MM    MM   MM   MM    MM
DOMV2 2012 02 24 15 18 230  8.2 12.4    MM    MM    MM  MM 1000.8  17.5    MM    MM   MM   MM    MM
DOMV2 2012 02 24 15 12 230  7.2  8.2    MM    MM    MM  MM 1000.9  17.1    MM    MM   MM   MM    MM
DOMV2 2012 02 24 15 06 230  7.2  8.8    MM    MM    MM  MM 1000.9  17.6    MM    MM   MM   MM    MM
