#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
32012 2012 02 23 18 50  MM   MM   MM   2.0    15   7.1 202     MM    MM    MM    MM   MM   MM    MM
41001 2012 02 23 18 50  MM   MM   MM   3.2     8   6.7  MM 1007.8  20.1  19.6  15.1   MM +0.3    MM
41004 2012 02 23 18 50 220 10.0 12.0   1.5     5   4.5  MM 1008.2  19.7  18.5  17.6   MM -1.7    MM
41008 2012 02 23 18 50 180  6.0  7.0   0.8     5   4.5  MM 1009.4  16.9  14.8  16.8   MM -1.6    MM
41009 2012 02 23 18 50 190  5.0  6.0   1.0    11   4.2  MM 1013.8  22.3  22.4  19.6   MM -1.9    MM
41009 2012 02 23 18 20 200  7.0  8.0   1.1    11   4.1  MM 1014.2  22.3  22.3  19.5   MM   MM    MM
41010 2012 02 23 18 50 230  8.0  9.0   1.7     6   4.9  MM 1013.7  22.8  22.0    MM   MM -1.6    MM
41010 2012 02 23 18 20 230  8.0  9.0   1.6     6   4.8  MM 1014.1  22.8  22.0    MM   MM   MM    MM
41012 2012 02 23 18 50 200  8.0 10.0   1.1    11   4.2  97 1010.9  22.2  22.1    MM   MM -2.0    MM
41013 2012 02 23 18 50 230 10.0 12.0   2.4     8   6.0 185 1006.7  19.6  19.1  18.2   MM -1.4    MM
41024 2012 02 23 18 00 220  7.0   MM    MM    MM    MM  MM 1007.0  14.6    MM    MM   MM -1.3    MM
41036 2012 02 23 18 50  MM   MM   MM   2.2     8   5.8 172 1005.8  17.8  17.9  16.7   MM -1.5    MM
41036 2012 02 23 18 20  MM   MM   MM    MM    MM    MM  MM 1006.1  17.3  18.0  16.3   MM   MM    MM
41040 2012 02 23 18 50  80  9.0 10.0   2.9     9   6.1  MM 1014.1  25.9  26.0  19.7   MM -1.9    MM
41041 2012 02 23 18 50  80  8.0 10.0   2.6     8   5.8  MM 1014.0  25.3  25.5  19.0   MM -1.5    MM
41043 2012 02 23 18 50  60  6.0  7.0   2.3    13   7.1  MM 1018.8  24.2  25.3  21.9   MM -2.2    MM
41044 2012 02 23 18 50  80  4.0  5.0   2.7    13   7.3  MM 1019.2  24.7  25.8  20.3   MM -1.6    MM
41046 2012 02 23 18 50 140  8.0  9.0   1.9    13   6.1  MM 1018.0  24.6  24.6  20.1   MM -2.0    MM
41047 2012 02 23 18 50 220  8.0  9.0   1.6    13   5.0  64 1018.2  23.4  23.3    MM   MM -0.5    MM
41048 2012 02 23 18 50 250 11.0 14.0   2.4     8   5.9 233 1013.1  21.3  21.0  16.2   MM -0.9    MM
41049 2012 02 23 18 50 210  5.0  6.0   1.9    12   6.2  MM 1020.4  20.9  23.1  17.9   MM -1.0    MM
41052 2012 02 23 18 30  70  4.0  5.0    MM    MM    MM  MM 1015.7  26.2    MM    MM   MM   MM    MM
41052 2012 02 23 18 20  70  4.0  5.0    MM    MM    MM  MM 1015.8  26.2    MM    MM   MM   MM    MM
41052 2012 02 23 18 10  70  5.0  6.0    MM    MM    MM  MM 1015.9  26.2    MM    MM   MM   MM    MM
41052 2012 02 23 18 00  70  4.0  5.0   1.0     6    MM  MM 1016.0  26.2  26.4    MM   MM -1.8    MM
41053 2012 02 23 18 30  70  7.0  9.0    MM    MM    MM  MM 1016.0  26.2    MM    MM   MM   MM    MM
41053 2012 02 23 18 20  60  7.0  9.0    MM    MM    MM  MM 1016.1  26.2    MM    MM   MM   MM    MM
41053 2012 02 23 18 10  60  8.0  9.0    MM    MM    MM  MM 1016.2  26.2    MM    MM   MM   MM    MM
41053 2012 02 23 18 00  70  8.0 10.0   2.2    13    MM  MM 1016.3  26.2  26.2    MM   MM -1.7    MM
41060 2012 02 23 18 50  MM   MM   MM   2.6     8   6.5  81     MM    MM    MM    MM   MM   MM    MM
41101 2012 02 23 18 00  80  8.8   MM   2.5     9    MM  MM 1013.8  25.5  26.3  20.3   MM -2.0    MM
41110 2012 02 23 18 51  MM   MM   MM   1.2     9   5.1 160     MM    MM  12.7    MM   MM   MM    MM
41112 2012 02 23 18 51  MM   MM   MM   0.8    12   4.0  81     MM    MM  15.2    MM   MM   MM    MM
41112 2012 02 23 18 21  MM   MM   MM   0.8     5   4.1 144     MM    MM  15.2    MM   MM   MM    MM
41113 2012 02 23 18 51  MM   MM   MM   0.6    13   4.7  81     MM    MM  21.4    MM   MM   MM    MM
41113 2012 02 23 18 21  MM   MM   MM   0.6    12   4.5  87     MM    MM  21.2    MM   MM   MM    MM
41114 2012 02 23 18 46  MM   MM   MM   0.7    12   5.9  66     MM    MM  23.4    MM   MM   MM    MM
41114 2012 02 23 18 16  MM   MM   MM   0.7    13   6.0  63     MM    MM  23.4    MM   MM   MM    MM
41115 2012 02 23 18 35  MM   MM   MM   2.4    13   8.1 351     MM    MM    MM    MM   MM   MM    MM
41115 2012 02 23 18 05  MM   MM   MM   2.4    12   8.2   3     MM    MM    MM    MM   MM   MM    MM
42001 2012 02 23 18 50 190  8.0 10.0   1.1     6   4.5  MM 1011.7  24.0  23.8  20.7   MM -1.8    MM
42002 2012 02 23 18 50 170  8.0 10.0   0.9     4   4.0  MM 1008.8  24.1  22.9  23.6   MM -1.5    MM
42003 2012 02 23 18 50 180  5.0  5.0   0.9     6   4.7 178 1013.5  24.2  23.4    MM   MM -1.5    MM
42012 2012 02 23 18 50 210  4.0  5.0   0.8     6   4.5 170 1008.4  18.9  16.9  18.9   MM -1.5    MM
42019 2012 02 23 18 50 200  7.0  8.0   1.0     6   4.3 185 1005.5  22.3    MM  21.5   MM -0.9    MM
42020 2012 02 23 18 50 180  7.0  8.0   1.0     5   4.0 137 1005.7  19.7  18.6  19.6   MM -1.5    MM
