#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
42035 2012 02 23 18 50 190  6.0  7.0   0.9     5   4.3 182 1005.7  18.1  16.0  18.1   MM -1.5    MM
42036 2012 02 23 18 50 200  7.0  9.0   0.9     6   4.7 236 1011.4  21.7  20.1  21.6   MM -1.9    MM
42039 2012 02 23 18 50 190  3.0  4.0   1.3     6   4.9  MM 1010.3  21.8  21.2    MM   MM -1.7    MM
42040 2012 02 23 18 50 220  9.0 10.0   1.1     6   4.2 167 1008.8  20.9  19.7    MM   MM -1.6    MM
42055 2012 02 23 18 50 160  8.0 10.0   1.0     5   4.1 104 1008.3  24.9  24.0  22.0   MM -2.1    MM
42056 2012 02 23 18 50 130  7.0  8.0   1.3     6   4.7 103 1014.1  26.6  26.9    MM   MM -1.7    MM
42057 2012 02 23 18 50  90  7.0  8.0   1.3     6   4.7  76 1013.8  26.6    MM    MM   MM -2.5    MM
42058 2012 02 23 18 50  80 11.0 12.0   2.1     7   5.3  92 1012.6  26.2  26.6  21.6   MM -1.9    MM
42059 2012 02 23 18 50  90  8.0  9.0   1.9    12   5.3  MM 1014.8  26.8  27.0  19.9   MM -2.1    MM
42060 2012 02 23 18 50  70  8.0  9.0   1.8     7   5.2  MM 1015.9  26.2  26.4  19.3   MM -2.0    MM
42099 2012 02 23 18 57  MM   MM   MM   1.0     5   4.1 215     MM    MM  21.7    MM   MM   MM    MM
42099 2012 02 23 18 27  MM   MM   MM   1.0     6   4.1 236     MM    MM  21.7    MM   MM   MM    MM
42360 2012 02 23 18 00 180 11.0 15.0   1.2     4    MM  MM     MM  24.4  24.6    MM   MM   MM    MM
42361 2012 02 23 18 30 200 14.0   MM    MM    MM    MM  MM 1007.8  22.8    MM  20.0   MM -1.0    MM
42363 2012 02 23 18 30 200 13.0   MM    MM    MM    MM  MM 1009.8  22.2    MM  19.4   MM -1.4    MM
42364 2012 02 23 18 30 210 12.0   MM    MM    MM    MM  MM 1009.5  21.1    MM  18.9   MM   MM    MM
42365 2012 02 23 18 30  MM   MM   MM    MM    MM    MM  MM     MM  22.0    MM  20.4   MM   MM    MM
42390 2012 02 23 18 30 150 12.0   MM    MM    MM    MM  MM 1007.5  23.9    MM  21.7   MM -0.6    MM
44005 2012 02 23 18 50 270  6.0  7.0   1.6     9   5.9  MM  992.6   6.3   5.9   6.2   MM -0.0    MM
44007 2012 02 23 18 50 260  4.0  6.0   1.3    10   5.5  MM  993.0   6.8   5.4   6.8   MM -0.6    MM
44008 2012 02 23 18 50 250 10.0 12.0   2.0    10   5.7 165  997.5   9.2   7.6   7.2   MM +0.5    MM
44009 2012 02 23 18 50 200  3.0  4.0   1.1     8   5.5  MM 1003.8   9.2   8.0    MM   MM -0.5    MM
44011 2012 02 23 18 50 230  7.0  9.0   3.1     9   6.6  MM  996.0   8.7   6.8    MM   MM +1.9    MM
44014 2012 02 23 18 50  MM   MM   MM   1.5     8   5.9 158 1004.4  19.3    MM  13.6   MM -1.0    MM
44018 2012 02 23 18 50 280  2.0  3.0   1.5     9   6.7 147  994.5   7.1   6.2   6.9   MM -0.4    MM
44020 2012 02 23 18 50 230  8.0 10.0   0.5     3   3.6 244  995.3   6.9   4.5   6.9   MM -0.3    MM
44022 2012 02 23 18 45  MM  9.0 14.0    MM    MM    MM  MM 1000.1  10.3    MM  -1.0   MM   MM    MM
44022 2012 02 23 18 30  MM  9.0 13.0    MM    MM    MM  MM  999.8  10.4    MM  -0.6   MM   MM    MM
44022 2012 02 23 18 15  MM  9.0 12.0    MM    MM    MM  MM  999.4  10.4    MM   0.0   MM   MM    MM
44024 2012 02 23 18 04 210  9.0 11.0   2.7    11    MM  MM  992.9   7.1   4.4    MM  1.3 -2.5    MM
44025 2012 02 23 18 50 270  6.0  7.0   1.4     8   5.5 166  999.8   9.7   7.3   5.0   MM +0.9    MM
44027 2012 02 23 18 50 130  8.0 10.0   1.9    11   6.0  MM  989.4   5.4   5.1    MM   MM -5.6    MM
44029 2012 02 23 18 04 280  7.0 12.0   0.9    11    MM  MM  993.1   6.5   5.6    MM  1.4 -0.4    MM
44033 2012 02 23 18 04 300  2.0  3.0   1.0     6    MM  MM  991.2   4.5   3.6    MM  1.6 -2.1    MM
44034 2012 02 23 18 04 190  6.0  8.0   1.9    11    MM  MM  990.4   6.0   5.3    MM  1.4 -4.3    MM
44037 2012 02 23 18 04 210  8.0 11.0   1.8    11    MM  MM  991.0   7.2   6.1    MM  1.3 -4.1    MM
44039 2012 02 23 18 45 270  8.0 13.0   0.8     3    MM  MM  999.7   9.8   5.3   2.4   MM   MM    MM
44039 2012 02 23 18 30 260  7.0  9.0   0.7     3    MM  MM  999.2   9.8   5.3   2.7   MM   MM    MM
44039 2012 02 23 18 00 250 10.0 12.0   0.7     3    MM  MM  998.8  10.3   5.3   2.1   MM   MM    MM
44041 2012 02 23 18 50 260  6.0  8.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44041 2012 02 23 18 40 260  6.0  9.0    MM    MM    MM  MM 1004.2    MM    MM    MM   MM   MM    MM
44041 2012 02 23 18 30 250  7.0  9.0    MM    MM    MM  MM 1004.3    MM    MM    MM   MM   MM    MM
44041 2012 02 23 18 20 260  4.0  6.0    MM    MM    MM  MM 1004.2    MM    MM    MM   MM   MM    MM
44041 2012 02 23 18 10 280  4.0  6.0    MM    MM    MM  MM 1004.4    MM    MM    MM   MM   MM    MM
44041 2012 02 23 18 00 270  5.0  9.0   0.1    MM    MM  MM 1004.5  18.0   9.2    MM   MM   MM    MM
44042 2012 02 23 18 50 100  3.0  3.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44042 2012 02 23 18 40 110  3.0  4.0    MM    MM    MM  MM 1002.2    MM    MM    MM   MM   MM    MM
44042 2012 02 23 18 30 150  3.0  4.0    MM    MM    MM  MM 1002.0    MM    MM    MM   MM   MM    MM
44042 2012 02 23 18 20 140  4.0  5.0    MM    MM    MM  MM 1002.0    MM    MM    MM   MM   MM    MM
44042 2012 02 23 18 10 120  2.0  4.0    MM    MM    MM  MM 1002.1    MM    MM    MM   MM   MM    MM
44042 2012 02 23 18 00 120  2.0  3.0   0.1    MM    MM  MM 1002.5   9.8   7.5    MM   MM   MM    MM
44043 2012 02 23 18 50 330  4.0  5.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44043 2012 02 23 18 40 320  5.0  6.0    MM    MM    MM  MM 1001.3    MM    MM    MM   MM   MM    MM
44043 2012 02 23 18 30 310  4.0  5.0    MM    MM    MM  MM 1001.3    MM    MM    MM   MM   MM    MM
44043 2012 02 23 18 20 320  5.0  6.0    MM    MM    MM  MM 1001.4    MM    MM    MM   MM   MM    MM
44043 2012 02 23 18 10 320  4.0  6.0    MM    MM    MM  MM 1001.3    MM    MM    MM   MM   MM    MM
44043 2012 02 23 18 00 330  5.0  6.0   0.3     3    MM  MM 1001.4  11.6   6.5    MM   MM   MM    MM
44056 2012 02 23 18 20  MM   MM   MM   0.6    12    MM  84     MM    MM   9.8    MM   MM   MM    MM
44058 2012 02 23 18 50 150  3.0  4.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44058 2012 02 23 18 40 150  4.0  5.0    MM    MM    MM  MM 1002.1    MM    MM    MM   MM   MM    MM
44058 2012 02 23 18 30 130  3.0  4.0    MM    MM    MM  MM 1002.0    MM    MM    MM   MM   MM    MM
44058 2012 02 23 18 20 110  3.0  4.0    MM    MM    MM  MM 1002.1    MM    MM    MM   MM   MM    MM
44058 2012 02 23 18 10 120  4.0  4.0    MM    MM    MM  MM 1002.4    MM    MM    MM   MM   MM    MM
44058 2012 02 23 18 00 120  3.0  4.0   0.1    MM    MM  MM 1002.6  10.5   7.8    MM   MM   MM    MM
44059 2012 02 23 18 50 260  5.0  8.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44059 2012 02 23 18 40 270  5.0  9.0    MM    MM    MM  MM 1001.9    MM    MM    MM   MM   MM    MM
44059 2012 02 23 18 30 260  4.0  8.0    MM    MM    MM  MM 1001.9    MM    MM    MM   MM   MM    MM
44059 2012 02 23 18 20 280  4.0  7.0    MM    MM    MM  MM 1002.0    MM    MM    MM   MM   MM    MM
44059 2012 02 23 18 10 270  4.0  8.0    MM    MM    MM  MM 1002.0    MM    MM    MM   MM   MM    MM
44059 2012 02 23 18 00 260  5.0  8.0    MM    MM    MM  MM 1002.1  19.8   9.0    MM   MM   MM    MM
44060 2012 02 23 18 45 210  7.0   MM    MM    MM    MM  MM  997.5   8.1   6.8    MM   MM   MM    MM
44060 2012 02 23 18 30 200  7.0   MM    MM    MM    MM  MM  997.1   8.1   6.8    MM   MM   MM    MM
44060 2012 02 23 18 15 200  7.0   MM    MM    MM    MM  MM  997.0   8.0   6.7    MM   MM   MM    MM
44063 2012 02 23 18 50 300  4.0  5.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44063 2012 02 23 18 40 300  5.0  8.0    MM    MM    MM  MM 1003.7    MM    MM    MM   MM   MM    MM
44063 2012 02 23 18 30 290  6.0  8.0    MM    MM    MM  MM 1003.4    MM    MM    MM   MM   MM    MM
44063 2012 02 23 18 20 280  5.0  7.0    MM    MM    MM  MM 1003.2    MM    MM    MM   MM   MM    MM
44063 2012 02 23 18 10 290  5.0  7.0    MM    MM    MM  MM 1003.0    MM    MM    MM   MM   MM    MM
44063 2012 02 23 18 00 290  6.0  8.0   0.1    MM    MM  MM 1003.2  14.2   6.9    MM   MM   MM    MM
44064 2012 02 23 18 50 100  3.0  3.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 23 18 40 100  3.0  4.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 23 18 30 100  4.0  4.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 23 18 20 100  3.0  3.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 23 18 10 110  3.0  4.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
44064 2012 02 23 18 00 110  3.0  4.0   0.3     3    MM  MM     MM  10.8   9.0    MM   MM   MM    MM
44065 2012 02 23 18 50 300  7.0  9.0   1.4     7   5.0 154  999.9  10.6   7.5   3.6   MM +1.0    MM
44066 2012 02 23 18 50 240 15.0 18.0   4.8    10   7.3  MM 1002.6  20.0  19.4  16.3   MM -1.8    MM
44097 2012 02 23 18 32  MM   MM   MM   2.0     9   5.6 179     MM    MM   8.3    MM   MM   MM    MM
44099 2012 02 23 18 52  MM   MM   MM   0.9     8   5.5 151     MM    MM   9.3    MM   MM   MM    MM
44099 2012 02 23 18 22  MM   MM   MM   0.9     8   5.7 152     MM    MM   9.2    MM   MM   MM    MM
44100 2012 02 23 18 52  MM   MM   MM   1.0     8   6.0 145     MM    MM  10.0    MM   MM   MM    MM
44100 2012 02 23 18 22  MM   MM   MM   1.1     8   6.1 145     MM    MM   9.8    MM   MM   MM    MM
44137 2012 02 23 18 00 160  9.0 13.0   3.2    11    MM  MM  999.0   9.4   5.8    MM   MM -6.2    MM
44138 2012 02 23 18 00 180  2.0  3.0   3.9    11    MM  MM 1011.8   6.1   6.6    MM   MM +0.2    MM
44139 2012 02 23 18 00 120  4.0  4.0   3.6    12    MM  MM 1008.6   3.9   2.8    MM   MM -2.7    MM
44140 2012 02 23 18 00 250  6.0  7.0   4.1    11    MM  MM 1013.4  16.0  13.3    MM   MM   MM    MM
44141 2012 02 23 18 00 120  5.0  6.0   3.3    11    MM  MM 1006.2   5.6   4.1    MM   MM -3.9    MM
44150 2012 02 23 18 00 190  8.0  9.0   2.8    11    MM  MM  994.6   9.7   7.5    MM   MM -6.5    MM
44172 2012 02 23 18 31  MM   MM   MM   2.9    10   8.2 185     MM    MM   2.0    MM   MM   MM    MM
44255 2012 02 23 18 00 200  2.0  4.0   2.0     8    MM  MM 1006.2   1.9   1.3    MM   MM +0.7    MM
44258 2012 02 23 18 00 120  8.0 12.0   2.7    10    MM  MM  997.5   3.7   2.1    MM   MM -6.0    MM
46001 2012 02 23 18 50 280  8.0  9.0   2.8    11   6.9  MM 1022.8   2.0   3.1    MM   MM +0.5    MM
46002 2012 02 23 18 50  MM   MM   MM   3.8    14  10.5  MM 1033.6   9.0  10.1    MM   MM -0.8    MM
46004 2012 02 23 18 00  MM   MM   MM   3.0    14    MM  MM 1021.6    MM   6.2    MM   MM -4.5    MM
46005 2012 02 23 18 50  MM 10.0 13.0   3.0    13   7.9  MM 1028.9   8.3   8.7    MM   MM -1.9    MM
46006 2012 02 23 18 50 190  4.0  5.0   2.3    13   8.9  MM 1032.5  12.1  11.4    MM   MM +0.0    MM
46011 2012 02 23 18 50 320  8.0  9.0   3.9    11   9.0 312 1014.9  12.0  11.8    MM   MM +0.0    MM
46012 2012 02 23 18 50 320 11.0 14.0   3.9     9   7.5 322 1018.8  10.6  10.3    MM   MM +0.0    MM
46013 2012 02 23 18 50 320 13.0 16.0   3.5    10   7.2  MM 1019.3   9.9   9.4    MM   MM +0.0    MM
46014 2012 02 23 18 50 340 13.0 15.0   4.1    13   7.3  MM 1022.8   9.6   9.5    MM   MM -0.7    MM
46022 2012 02 23 18 50 360 12.0 15.0   4.0    13   7.2  MM 1027.0   9.6  10.2    MM   MM -0.3    MM
46025 2012 02 23 18 50 120  6.0  7.0   1.3    15   6.2 235 1010.6  13.9  14.1  13.5   MM +0.0    MM
46026 2012 02 23 18 50 320  9.0 10.0   3.3    12   7.5 286 1019.0  10.3  10.1    MM   MM +0.0    MM
46027 2012 02 23 18 50 350 10.0 12.0   3.3    14   8.1 290 1028.2   8.6   9.3    MM   MM -0.6    MM
46028 2012 02 23 18 50 320 12.0 14.0   4.4    11   7.7 316 1014.1  12.0  11.8    MM   MM +0.0    MM
46029 2012 02 23 18 50 280  4.0  5.0   4.4    12   9.0 293 1031.3   7.5   7.2   2.7   MM +0.0    MM
46035 2012 02 23 18 50  70 15.0 19.0   2.5     7   5.7  MM 1022.1    MM    MM    MM   MM +0.0    MM
46036 2012 02 23 18 00 160 11.0 13.0   3.2    14    MM  MM 1020.5   7.0   7.0    MM   MM -4.9    MM
46041 2012 02 23 18 50 280  5.0  7.0   4.4    13   9.4  MM 1030.2   7.4   7.7    MM   MM +0.5    MM
46042 2012 02 23 18 50 320 12.0 14.0   4.0    13   7.9 306 1017.5  11.0  10.9    MM   MM +0.0    MM
46047 2012 02 23 18 50 320  7.0  9.0   3.6    16   8.0 309 1011.7  13.5  13.6    MM   MM +0.0    MM
46050 2012 02 23 18 50  20  2.0  4.0   4.3    14   9.7 291 1032.5   7.9   9.0    MM   MM +0.3    MM
46053 2012 02 23 18 50  90  2.0  2.0   1.7    10   6.7 263 1012.0  14.1  13.5    MM   MM +1.0    MM
46054 2012 02 23 18 50 320  9.0 11.0   3.5    10   7.8  MM 1012.3  13.3  12.0    MM   MM   MM    MM
46059 2012 02 23 18 50  30  7.0  8.0   3.0    16   8.3  MM 1032.9  11.1  13.0    MM   MM +0.5    MM
46061 2012 02 23 18 50 150  3.0  4.0   1.7    11   6.8  MM 1017.5   0.4   3.8    MM   MM +0.6    MM
46069 2012 02 23 18 50 320  6.0  8.0   3.5     9   7.5 299 1012.0  12.5  12.4    MM   MM +1.2    MM
46070 2012 02 23 18 50  80 19.0 24.0   6.1    11   7.7  MM 1001.1   1.3   2.9   0.2   MM -2.4    MM
46072 2012 02 23 18 50 130 15.0 19.0   4.1     7   6.1  MM 1013.5   2.2   2.5   1.0   MM -2.6    MM
46075 2012 02 23 18 50 360  4.0  5.0   1.9    10   7.8  MM 1029.2   1.2   2.9  -2.9   MM +1.8    MM
46077 2012 02 23 18 50 270 14.0 16.0   2.1     6   4.9  MM 1022.7  -3.1   2.6  -8.5   MM +1.2    MM
46080 2012 02 23 18 50 290  7.0 11.0   2.1    12   5.4  MM 1021.6  -1.0   4.0  -3.7   MM +0.9    MM
46082 2012 02 23 18 50  MM   MM   MM   2.4    11   7.9  MM 1019.9   0.6   5.0    MM   MM +0.7    MM
46083 2012 02 23 18 50  30  3.0  5.0   2.9    13   7.9  MM 1022.1   1.8   5.0  -0.1   MM +1.0    MM
46084 2012 02 23 18 50  MM   MM   MM   3.5    12   7.4  MM 1023.6   5.0   6.2  -5.7   MM -0.0    MM
46086 2012 02 23 18 50 110  5.0  6.0   1.8    15   8.7 279 1011.5  14.2  15.1    MM   MM +0.0    MM
46087 2012 02 23 18 50 260  4.0  6.0   4.0    14  10.1 274 1028.7   6.7   7.2   3.1   MM +0.7    MM
46087 2012 02 23 18 20 260  5.0  6.0    MM    MM    MM  MM 1028.9   6.8   7.2   2.9   MM   MM    MM
46088 2012 02 23 18 50 260  9.0 10.0   0.8     5   4.4 246 1028.1   6.9   7.3    MM   MM   MM    MM
46088 2012 02 23 18 20 250  8.0  9.0   0.7     5   4.2 248 1028.2   6.9   7.3    MM   MM   MM    MM
46089 2012 02 23 18 50 270  3.0  5.0   4.1    14   9.1 289 1032.2   7.4   8.4   3.0   MM +0.0    MM
46114 2012 02 23 18 34  MM   MM   MM   4.1    11   8.1 304     MM    MM  10.4    MM   MM   MM    MM
46114 2012 02 23 18 04  MM   MM   MM   4.0    14   8.1 294     MM    MM  10.4    MM   MM   MM    MM
46131 2012 02 23 18 00 350  5.0  6.0   0.2     3    MM  MM 1028.1    MM   7.1    MM   MM +1.1    MM
46132 2012 02 23 18 00 330  6.0   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
46146 2012 02 23 18 00 270  6.0  7.0   0.5     3    MM  MM 1027.9   6.2   6.9    MM   MM +1.1    MM
46147 2012 02 23 18 00 210  3.0  4.0   3.6    14    MM  MM 1027.5   5.1   7.0    MM   MM -0.8    MM
46181 2012 02 23 18 00 220  5.0  7.0   0.1     3    MM  MM 1027.4   3.9   5.9    MM   MM -0.1    MM
46183 2012 02 23 18 00 280  1.0  1.0   0.6    13    MM  MM 1027.2   4.8   6.4    MM   MM -0.2    MM
46184 2012 02 23 18 00 100  4.0  5.0   3.0    14    MM  MM 1024.6   3.7   4.7    MM   MM -0.9    MM
46185 2012 02 23 18 00 120  0.0  1.0   1.4    13    MM  MM 1028.1   6.0   6.7    MM   MM -0.2    MM
46204 2012 02 23 18 00 170  4.0  5.0   3.1    14    MM  MM 1028.3   6.0   6.8    MM   MM -0.2    MM
46205 2012 02 23 18 00 240  0.0  2.0   3.8    11    MM  MM 1025.7   5.1   6.2    MM   MM -0.9    MM
46206 2012 02 23 18 00 300  8.0 10.0   3.7    12    MM  MM 1028.8   6.8   7.5    MM   MM +0.5    MM
46207 2012 02 23 18 00 270  1.0  3.0   3.2    13    MM  MM 1028.4   6.6   7.4    MM   MM -0.4    MM
46208 2012 02 23 18 00 210  2.0  6.0   3.4    13    MM  MM 1026.7   4.6   6.3    MM   MM   MM    MM
46211 2012 02 23 18 36  MM   MM   MM   3.7    14   9.3 280     MM    MM   8.0    MM   MM   MM    MM
46211 2012 02 23 18 06  MM   MM   MM   4.0    13   9.4 277     MM    MM   7.9    MM   MM   MM    MM
46212 2012 02 23 18 42  MM   MM   MM   3.2    14   8.1 293     MM    MM   9.8    MM   MM   MM    MM
46212 2012 02 23 18 12  MM   MM   MM   3.3    12   8.0 305     MM    MM   9.8    MM   MM   MM    MM
46213 2012 02 23 18 54  MM   MM   MM   4.1    13   7.8 278     MM    MM  10.2    MM   MM   MM    MM
46213 2012 02 23 18 24  MM   MM   MM   4.0    13   8.0 300     MM    MM  10.2    MM   MM   MM    MM
46214 2012 02 23 18 34  MM   MM   MM   5.1    10   8.3 319     MM    MM  10.6    MM   MM   MM    MM
46214 2012 02 23 18 04  MM   MM   MM   5.7    10   8.8 315     MM    MM  10.6    MM   MM   MM    MM
46215 2012 02 23 18 37  MM   MM   MM   2.4    12   8.7 275     MM    MM  12.8    MM   MM   MM    MM
46215 2012 02 23 18 07  MM   MM   MM   2.6    13   8.6 274     MM    MM  12.5    MM   MM   MM    MM
46216 2012 02 23 18 34  MM   MM   MM   1.5    11   6.8 267     MM    MM  13.4    MM   MM   MM    MM
46216 2012 02 23 18 04  MM   MM   MM   1.6    10   6.8 268     MM    MM  13.3    MM   MM   MM    MM
46217 2012 02 23 18 42  MM   MM   MM   1.5    11   7.3 269     MM    MM  13.4    MM   MM   MM    MM
46217 2012 02 23 18 12  MM   MM   MM   1.5    10   7.4 275     MM    MM  13.2    MM   MM   MM    MM
46218 2012 02 23 18 32  MM   MM   MM   3.8    14   8.9 308     MM    MM  11.1    MM   MM   MM    MM
46219 2012 02 23 18 28  MM   MM   MM   3.7    14   8.2 302     MM    MM  13.5    MM   MM   MM    MM
46221 2012 02 23 18 15  MM   MM   MM   1.1    10   7.4 268     MM    MM  13.8    MM   MM   MM    MM
46222 2012 02 23 18 26  MM   MM   MM   1.1     9   7.5 276     MM    MM  14.1    MM   MM   MM    MM
46223 2012 02 23 18 30  MM   MM   MM   0.7     9   7.0 283     MM    MM  14.4    MM   MM   MM    MM
46223 2012 02 23 18 00  MM   MM   MM   0.7    15   7.9 245     MM    MM  14.4    MM   MM   MM    MM
46224 2012 02 23 18 47  MM   MM   MM   0.8    11   8.3 275     MM    MM  14.6    MM   MM   MM    MM
46224 2012 02 23 18 17  MM   MM   MM   0.9    11   8.4 281     MM    MM  14.6    MM   MM   MM    MM
46225 2012 02 23 18 23  MM   MM   MM   1.4    15   8.6 274     MM    MM  15.0    MM   MM   MM    MM
46229 2012 02 23 18 51  MM   MM   MM   4.5    13  11.1 302     MM    MM   9.6    MM   MM   MM    MM
46229 2012 02 23 18 21  MM   MM   MM   4.1    13  10.3 302     MM    MM   9.6    MM   MM   MM    MM
